longitude,latitude,week,abundance,species,species_id
-44.26,-35.45,2023-02-08,0.864,Upland Sandpiper,3
-45.72,-35.25,2023-02-08,0.841,Upland Sandpiper,3
-43.78,-35.25,2023-02-08,0.822,Upland Sandpiper,3
-45.48,-35.45,2023-02-08,0.711,Upland Sandpiper,3
-43.78,-35.45,2023-02-08,0.7,Upland Sandpiper,3
-45.48,-38.17,2023-02-08,0.675,Upland Sandpiper,3
-45.48,-37.98,2023-02-08,0.674,Upland Sandpiper,3
-45.48,-34.86,2023-02-08,0.668,Upland Sandpiper,3
-44.02,-35.65,2023-02-08,0.646,Upland Sandpiper,3
-45.23,-39.12,2023-02-08,0.641,Upland Sandpiper,3
-45.23,-38.36,2023-02-08,0.621,Upland Sandpiper,3
-45.23,-38.55,2023-02-08,0.602,Upland Sandpiper,3
-43.78,-35.85,2023-02-08,0.574,Upland Sandpiper,3
-45.96,-35.25,2023-02-08,0.562,Upland Sandpiper,3
-45.96,-35.06,2023-02-08,0.557,Upland Sandpiper,3
-45.23,-38.74,2023-02-08,0.513,Upland Sandpiper,3
-43.54,-35.45,2023-02-08,0.499,Upland Sandpiper,3
-43.29,-35.06,2023-02-08,0.495,Upland Sandpiper,3
-44.99,-35.65,2023-02-08,0.478,Upland Sandpiper,3
-46.2,-37.02,2023-02-08,0.435,Upland Sandpiper,3
-45.48,-39.31,2023-02-08,0.425,Upland Sandpiper,3
-45.72,-35.45,2023-02-08,0.424,Upland Sandpiper,3
-44.75,-35.65,2023-02-08,0.403,Upland Sandpiper,3
-45.23,-35.65,2023-02-08,0.401,Upland Sandpiper,3
-43.54,-35.25,2023-02-08,0.398,Upland Sandpiper,3
-43.54,-35.06,2023-02-08,0.383,Upland Sandpiper,3
-45.96,-37.21,2023-02-08,0.362,Upland Sandpiper,3
-43.29,-35.25,2023-02-08,0.335,Upland Sandpiper,3
-43.29,-34.86,2023-02-08,0.315,Upland Sandpiper,3
-44.26,-35.65,2023-02-08,0.314,Upland Sandpiper,3
-45.96,-35.45,2023-02-08,0.313,Upland Sandpiper,3
-43.29,-35.45,2023-02-08,0.288,Upland Sandpiper,3
-46.45,-36.24,2023-02-08,0.287,Upland Sandpiper,3
-45.23,-38.17,2023-02-08,0.286,Upland Sandpiper,3
-44.99,-38.93,2023-02-08,0.278,Upland Sandpiper,3
-46.45,-36.43,2023-02-08,0.278,Upland Sandpiper,3
-44.51,-35.65,2023-02-08,0.278,Upland Sandpiper,3
-44.26,-35.25,2023-02-15,1.858,Upland Sandpiper,3
-44.51,-35.25,2023-02-15,1.569,Upland Sandpiper,3
-44.02,-35.06,2023-02-15,1.536,Upland Sandpiper,3
-44.99,-35.25,2023-02-15,1.526,Upland Sandpiper,3
