species,species_id,individual-local-identifier,date,daily_dist_km,avg_speed_kmh,max_speed_kmh,pct_migrating
Barn Swallow,2,H988,2014-01-21,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-07-13,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-02-22,89.38824488824307,4.401690001447658,8.732545637944925,0.0
Barn Swallow,2,H980,2014-03-09,101.41708012192291,4.263723985987131,4.695985912125596,0.0
Barn Swallow,2,H976,2014-04-30,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-04-14,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-01-27,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-03-04,54.288890349302264,2.460402363056439,4.593308543850509,0.0
Barn Swallow,2,H988,2014-09-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-05-07,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-10-14,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-07-12,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-05-03,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-04-02,100.12022786409656,4.169623252364291,4.320320929708248,0.0
Barn Swallow,2,H978,2014-03-22,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-03-03,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-05-04,0.0,0.0,0.0,0.0
Barn Swallow,2,H989,2014-08-19,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-09-03,50.03771699005132,1.9533689861435377,3.9067379722870754,0.0
Barn Swallow,2,H987,2014-09-05,0.0,0.0,0.0,0.0
Barn Swallow,2,H988,2014-03-02,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-03-09,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-09-27,255.1419836371967,10.157600038638313,20.315200077276625,50.0
Barn Swallow,2,H989,2014-03-16,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-02-28,54.234267615389975,2.079427007161303,3.7714503101603056,0.0
Barn Swallow,2,H982,2014-03-18,0.0,0.0,0.0,0.0
Barn Swallow,2,H976,2014-03-24,50.0377169900515,1.9919473324065087,3.9838946648130174,0.0
Barn Swallow,2,H988,2014-10-05,54.27690523064771,2.3984991969191496,4.623169019935086,0.0
Barn Swallow,2,H976,2014-08-09,0.0,0.0,0.0,0.0
Barn Swallow,2,H978,2014-04-25,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-07-07,0.0,0.0,0.0,0.0
Barn Swallow,2,H992,2014-07-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H982,2014-04-10,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-02-19,0.0,0.0,0.0,0.0
Barn Swallow,2,H974,2014-05-16,50.03771699005132,2.039580855572744,4.079161711145488,0.0
