country,country_code,continent,season,season_label,season_pop_pct,peak_pop_pct,days_occupied,peak_week
Norway,NOR,Europe,breeding,Breeding,0.582,0.673,28,2023-06-14
Norway,NOR,Europe,postbreeding_migration,Post-breeding Migration,0.711,1.772,98,2023-08-23
Norway,NOR,Europe,prebreeding_migration,Pre-breeding Migration,0.225,1.298,35,2023-06-07
New Zealand,NZL,Oceania,breeding,Breeding,6.029,7.861,28,2023-07-05
New Zealand,NZL,Oceania,nonbreeding,Non-breeding,22.662,27.691,63,2023-02-15
New Zealand,NZL,Oceania,postbreeding_migration,Post-breeding Migration,5.622,20.132,168,2023-12-20
New Zealand,NZL,Oceania,prebreeding_migration,Pre-breeding Migration,1.575,29.454,105,2023-03-01
Panama,PAN,North America,nonbreeding,Non-breeding,0.015,0.025,63,2023-02-08
Panama,PAN,North America,postbreeding_migration,Post-breeding Migration,0.002,0.014,63,2023-10-25
Poland,POL,Europe,postbreeding_migration,Post-breeding Migration,0.088,0.548,105,2023-08-30
Puerto Rico,PRI,North America,nonbreeding,Non-breeding,0.002,0.004,49,2023-12-27
Puerto Rico,PRI,North America,postbreeding_migration,Post-breeding Migration,0.003,0.007,147,2023-10-25
North Korea,PRK,Asia,postbreeding_migration,Post-breeding Migration,0.613,1.767,56,2023-08-16
North Korea,PRK,Asia,prebreeding_migration,Pre-breeding Migration,1.764,3.106,49,2023-05-24
Portugal,PRT,Europe,breeding,Breeding,0.016,0.035,21,2023-06-14
Portugal,PRT,Europe,nonbreeding,Non-breeding,0.149,0.211,63,2023-12-27
Portugal,PRT,Europe,postbreeding_migration,Post-breeding Migration,0.057,0.177,168,2023-12-20
Portugal,PRT,Europe,prebreeding_migration,Pre-breeding Migration,0.043,0.194,105,2023-04-05
Romania,ROU,Europe,postbreeding_migration,Post-breeding Migration,0.032,0.044,14,2023-09-13
Russia,RUS,Asia,breeding,Breeding,0.231,0.263,0,2023-06-14
Russia,RUS,Asia,postbreeding_migration,Post-breeding Migration,0.062,0.204,0,2023-08-30
Russia,RUS,Asia,prebreeding_migration,Pre-breeding Migration,0.122,0.666,7,2023-06-07
Scotland,SCT,Europe,breeding,Breeding,0.09,0.146,28,2023-06-21
Scotland,SCT,Europe,nonbreeding,Non-breeding,4.855,6.54,63,2023-01-18
Scotland,SCT,Europe,postbreeding_migration,Post-breeding Migration,2.014,9.654,168,2023-11-29
Scotland,SCT,Europe,prebreeding_migration,Pre-breeding Migration,0.134,3.183,105,2023-03-01
Senegal,SEN,Africa,nonbreeding,Non-breeding,0.281,0.439,21,2023-02-01
Senegal,SEN,Africa,postbreeding_migration,Post-breeding Migration,0.222,0.297,7,2023-12-13
Saint Pierre and Miquelon,SPM,North America,postbreeding_migration,Post-breeding Migration,0.019,0.071,98,2023-09-06
Suriname,SUR,South America,postbreeding_migration,Post-breeding Migration,0.077,0.191,63,2023-09-13
Sweden,SWE,Europe,breeding,Breeding,0.002,0.007,0,2023-07-05
Sweden,SWE,Europe,postbreeding_migration,Post-breeding Migration,0.572,3.9,112,2023-07-19
Sweden,SWE,Europe,prebreeding_migration,Pre-breeding Migration,0.016,0.321,35,2023-06-07
Thailand,THA,Asia,nonbreeding,Non-breeding,0.297,0.527,63,2023-02-15
Thailand,THA,Asia,postbreeding_migration,Post-breeding Migration,0.222,0.813,112,2023-09-06
Thailand,THA,Asia,prebreeding_migration,Pre-breeding Migration,0.13,1.178,63,2023-04-05
Trinidad and Tobago,TTO,North America,nonbreeding,Non-breeding,0.006,0.018,42,2023-02-22
Trinidad and Tobago,TTO,North America,postbreeding_migration,Post-breeding Migration,0.018,0.08,119,2023-09-20
Trinidad and Tobago,TTO,North America,prebreeding_migration,Pre-breeding Migration,0.002,0.01,42,2023-03-01
Turkey,TUR,Asia,nonbreeding,Non-breeding,0.055,0.129,42,2023-01-18
Turkey,TUR,Asia,postbreeding_migration,Post-breeding Migration,0.006,0.027,35,2023-09-13
Taiwan,TWN,Asia,nonbreeding,Non-breeding,0.02,0.042,63,2023-12-27
Taiwan,TWN,Asia,postbreeding_migration,Post-breeding Migration,0.016,0.042,154,2023-08-30
Taiwan,TWN,Asia,prebreeding_migration,Pre-breeding Migration,0.033,0.387,105,2023-04-05
Ukraine,UKR,Europe,postbreeding_migration,Post-breeding Migration,0.014,0.019,14,2023-09-13
Uruguay,URY,South America,nonbreeding,Non-breeding,0.021,0.039,49,2023-02-22
Uruguay,URY,South America,postbreeding_migration,Post-breeding Migration,0.027,0.08,112,2023-10-25
Uruguay,URY,South America,prebreeding_migration,Pre-breeding Migration,0.017,0.191,84,2023-04-05
United States,USA,North America,breeding,Breeding,11.386,15.969,28,2023-06-14
United States,USA,North America,nonbreeding,Non-breeding,6.672,11.262,63,2023-02-01
United States,USA,North America,postbreeding_migration,Post-breeding Migration,3.582,10.81,168,2023-07-12
United States,USA,North America,prebreeding_migration,Pre-breeding Migration,3.31,24.064,105,2023-06-07
Venezuela,VEN,South America,nonbreeding,Non-breeding,0.005,0.02,0,2023-02-22
Venezuela,VEN,South America,postbreeding_migration,Post-breeding Migration,0.051,0.189,70,2023-09-20
Venezuela,VEN,South America,prebreeding_migration,Pre-breeding Migration,0.011,0.034,21,2023-05-03
Wales,WLS,Europe,breeding,Breeding,0.837,1.273,28,2023-06-14
Wales,WLS,Europe,nonbreeding,Non-breeding,2.255,3.352,63,2023-01-04
Wales,WLS,Europe,postbreeding_migration,Post-breeding Migration,0.749,3.028,168,2023-12-20
Wales,WLS,Europe,prebreeding_migration,Pre-breeding Migration,0.064,1.294,105,2023-06-07
South Africa,ZAF,Africa,nonbreeding,Non-breeding,0.056,0.097,7,2023-02-22
South Africa,ZAF,Africa,postbreeding_migration,Post-breeding Migration,0.003,0.013,7,2023-11-22
South Africa,ZAF,Africa,prebreeding_migration,Pre-breeding Migration,0.008,0.073,0,2023-03-01
