species,species_id,colour,region_name,region_code,continent_name,season,season_label,season_pop_pct,peak_pop_pct,range_days_occupation,max_week
Grey Plover,1,#e8a87c,Djibouti,DJI,Africa,postbreeding_migration,Post-breeding Migration,0.045,0.063,42,2023-09-13
Grey Plover,1,#e8a87c,Denmark,DNK,Europe,breeding,Breeding,0.117,0.344,35,2023-06-14
Grey Plover,1,#e8a87c,Denmark,DNK,Europe,nonbreeding,Non-breeding,0.101,0.358,49,2023-12-20
Grey Plover,1,#e8a87c,Denmark,DNK,Europe,postbreeding_migration,Post-breeding Migration,0.478,1.335,140,2023-08-02
Grey Plover,1,#e8a87c,Denmark,DNK,Europe,prebreeding_migration,Pre-breeding Migration,0.163,0.491,70,2023-05-31
Grey Plover,1,#e8a87c,Dominican Republic,DOM,North America,nonbreeding,Non-breeding,0.103,0.211,98,2023-02-22
Grey Plover,1,#e8a87c,Dominican Republic,DOM,North America,postbreeding_migration,Post-breeding Migration,0.377,2.82,126,2023-09-06
Grey Plover,1,#e8a87c,Dominican Republic,DOM,North America,prebreeding_migration,Pre-breeding Migration,0.065,0.18,91,2023-03-15
Grey Plover,1,#e8a87c,Ecuador,ECU,South America,breeding,Breeding,0.251,0.343,35,2023-06-14
Grey Plover,1,#e8a87c,Ecuador,ECU,South America,nonbreeding,Non-breeding,0.656,1.619,98,2023-12-27
Grey Plover,1,#e8a87c,Ecuador,ECU,South America,postbreeding_migration,Post-breeding Migration,0.176,0.501,140,2023-11-29
Grey Plover,1,#e8a87c,Ecuador,ECU,South America,prebreeding_migration,Pre-breeding Migration,0.097,0.393,91,2023-03-15
Grey Plover,1,#e8a87c,Egypt,EGY,Africa,breeding,Breeding,0.051,0.069,0,2023-07-12
Grey Plover,1,#e8a87c,Egypt,EGY,Africa,nonbreeding,Non-breeding,0.152,0.238,98,2023-12-13
Grey Plover,1,#e8a87c,Egypt,EGY,Africa,postbreeding_migration,Post-breeding Migration,0.151,0.222,140,2023-11-29
Grey Plover,1,#e8a87c,Egypt,EGY,Africa,prebreeding_migration,Pre-breeding Migration,0.08,0.185,49,2023-03-15
Grey Plover,1,#e8a87c,England,ENG,Europe,breeding,Breeding,0.49,0.841,35,2023-06-14
Grey Plover,1,#e8a87c,England,ENG,Europe,nonbreeding,Non-breeding,1.791,2.909,98,2023-03-08
Grey Plover,1,#e8a87c,England,ENG,Europe,postbreeding_migration,Post-breeding Migration,0.75,1.993,140,2023-11-29
